"filename", "language", "Python", "pip requirements", "JSON", "CSS", "Shell Script", "Markdown", "HTML", "Plain Text (PDF)", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/david/git/TDDD83/tddd83/README.md", "Markdown", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 12, 72
"/Users/david/git/TDDD83/tddd83/dbschema.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 2, 309
"/Users/david/git/TDDD83/tddd83/install_alias.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/Users/david/git/TDDD83/tddd83/prototyper/create_event 2.html", "HTML", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 6, 15, 166
"/Users/david/git/TDDD83/tddd83/prototyper/create_event 3.html", "HTML", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 6, 46, 340
"/Users/david/git/TDDD83/tddd83/prototyper/create_event.html", "HTML", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 4, 30, 170
"/Users/david/git/TDDD83/tddd83/prototyper/index.html", "HTML", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 5, 8, 172
"/Users/david/git/TDDD83/tddd83/prototyper/index2.html", "HTML", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 4, 9, 223
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/README.md", "Markdown", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 45, 115
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/bower.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/font/css/open-iconic-bootstrap.css", "CSS", 0, 0, 0, 717, 0, 0, 0, 0, 0, 0, 0, 1, 235, 953
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/font/css/open-iconic-bootstrap.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 719, 0, 4, 238, 961
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/font/css/open-iconic-bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/font/css/open-iconic-bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 717, 3, 239, 959
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/font/css/open-iconic-foundation.css", "CSS", 0, 0, 0, 935, 0, 0, 0, 0, 0, 0, 0, 1, 460, 1396
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/font/css/open-iconic-foundation.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 936, 0, 2, 460, 1398
